,total,MDU (Business Days Mean),MSD (Saturdays Mean),MDO (Sundays Mean),MAX (Daily Max),line_color,year_month
67,8.395,360,206,110,375,4,2021-02-01
68,8.374,356,214,112,370,5,2021-02-01
69,7.060,288,135,69,373,4,2021-03-01
70,7.430,299,153,77,377,5,2021-03-01
71,6.913,289,160,84,327,5,2021-04-01
72,6.530,276,141,77,317,4,2021-04-01
73,8.408,328,200,105,349,5,2021-05-01
74,8.284,324,193,103,346,4,2021-05-01
75,8.721,336,216,114,357,4,2021-06-01
76,8.844,341,222,114,359,5,2021-06-01
77,9.139,350,222,119,373,4,2021-07-01
78,9.147,351,221,118,374,5,2021-07-01
79,10.004,384,235,124,400,5,2021-08-01
80,10.049,386,231,129,405,4,2021-08-01
81,10.097,399,251,137,412,5,2021-09-01
82,10.409,409,252,149,431,4,2021-09-01
83,"10.956,07","434,81","272,26","146,87","478,42",4,2021-10-01
84,"10.470,44","416,75","263,12","130,84","440,64",5,2021-10-01
85,"11.712,12","469,24","300,21","188,66","497,47",4,2021-11-01
86,"10.990,58","442,99","285,38","160,61","459,23",5,2021-11-01
87,"11.566,89","423,65","272,63","183,10","514,81",4,2021-12-01
88,"11.037,81","405,61","261,28","165,94","479,79",5,2021-12-01
89,"9.286,51","364,58","202,18","123,90","397,23",5,2022-01-01
90,"9.745,14","381,81","209,48","135,96","420,11",4,2022-01-01
91,7.625,319,199,110,342,9,2022-02-01
92,10.180,426,270,145,450,5,2022-02-01
93,7.073,295,196,97,315,6,2022-02-01
94,10.885,450,289,180,486,4,2022-02-01
95,8.311,317,200,98,329,6,2022-03-01
96,9.523,362,222,125,449,9,2022-03-01
97,12.297,469,288,151,500,5,2022-03-01
98,13.697,523,322,172,575,4,2022-03-01
99,7.874,327,198,101,339,6,2022-04-01
100,13.019,550,299,165,591,4,2022-04-01
101,8.764,375,188,105,391,9,2022-04-01
102,11.533,482,276,155,500,5,2022-04-01
103,"9.780,98","379,16","214,72","116,11","400,09",9,2022-05-01
104,"14.873,24","569,18","337,49","200,28","606,09",4,2022-05-01
105,"8.565,94","326,46","215,91","104,05","344,59",6,2022-05-01
106,"12.740,79","488,30","299,87","159,75","507,22",5,2022-05-01
107,"14.239,84","559,54","322,67","223,49","587,65",4,2022-06-01
108,"12.099,73","479,00","283,96","155,88","541,79",5,2022-06-01
109,"9.400,91","376,45","209,19","114,71","425,94",9,2022-06-01
110,"8.120,30","321,22","202,89","102,13","335,04",6,2022-06-01
111,"9.583,76","376,90","210,64","123,14","394,72",9,2022-07-01
112,"14.178,13","548,41","328,38","203,91","586,31",4,2022-07-01
113,"8.218,74","319,17","199,43","103,81","326,03",6,2022-07-01
114,"12.042,05","466,20","285,91","164,46","484,27",5,2022-07-01
115,"8.895,35","333,71","204,60","100,39","347,69",6,2022-08-01
116,"15.871,08","599,54","327,55","192,89","640,13",4,2022-08-01
117,"13.310,68","500,75","292,18","156,23","519,06",5,2022-08-01
118,"10.641,85","405,48","212,67","116,28","429,54",9,2022-08-01
119,"8.399,11","336,84","203,16","96,98","350,12",6,2022-09-01
120,"10.201,99","414,96","219,88","117,06","432,84",9,2022-09-01
121,"12.606,29","505,50","298,03","153,91","517,40",5,2022-09-01
122,"15.427,31","619,43","341,23","205,33","653,67",4,2022-09-01
123,"12.854,25","512,52","301,32","176,27","533,04",5,2022-10-01
124,"15.642,63","626,43","350,85","224,48","660,21",4,2022-10-01
125,"8.651,98","345,24","210,78","111,11","360,94",6,2022-10-01
126,"10.404,76","424,03","222,09","128,84","446,96",9,2022-10-01
127,"8.434,03","342,350","223,94","106,74","363,80",6,2022-11-01
128,"12.404,96","503,71","314,49","169,51","538,67",5,2022-11-01
129,"14.955,05","613,22","357,00","205,72","659,99",4,2022-11-01
130,"10.329,73","423,10","248,24","142,49","456,00",9,2022-11-01
131,"8.394,06","316,65","198,22","109,19","371,37",6,2022-12-01
132,"14.236,08","544,98","299,08","187,76","693,28",4,2022-12-01
133,"10.038,63","388,00","200,09","125,53","477,23",9,2022-12-01
134,"11.837,35","448,87","264,37","160,11","550,56",5,2022-12-01
135,"7.737,65","298,94","194,60","94,39","332,49",6,2023-01-01
136,"9.483,89","376,56","208,30","110,51","411,92",9,2023-01-01
137,"10.976,23","427,20","271,01","139,44","468,66",5,2023-01-01
138,"13.605,41","530,98","311,82","186,86","594,24",4,2023-01-01
139,"9.297,16","403,77","233,26","127,63","442,43",9,2023-02-01
140,"13.777,19","580,30","387,56","224,68","639,51",4,2023-02-01
141,"7.604,56","328,90","204,03","97,91","354,26",6,2023-02-01
142,"11.015,86","473,46","289,52","161,31","516,80",5,2023-02-01
143,"13.455,77","503,11","305,23","165,84","535,97",5,2023-03-01
144,"11.825,89","443,96","259,00","144,71","504,80",9,2023-03-01
145,"17.370,64","649,07","389,01","221,48","711,99",4,2023-03-01
146,"11.792,22","510,81","282,42","160,71","527,25",5,2023-04-01
147,"8.087,46","351,44","196,32","104,95","360,49",6,2023-04-01
148,"15.070,57","661,45","338,30","201,58","701,71",4,2023-04-01
149,"10.113,09","444,11","220,28","129,33","462,62",9,2023-04-01
