Month,Total,Average Weekday,Average Saturday,Average Sunday,Daily Maximum,Line,Year
Dez*,2.519,99.0,48.0,32.0,121.0,15,2022
2022,31.12,105.0,55.0,32.0,124.0,15,2022
Jan*,50.235,1.977,1.285,725.0,2.137,Combined Values,2022
Fev*,55.103,2.327,1.507,848.0,2.436,Combined Values,2022
Mar*,68.108,2.622,1.605,850.0,2.724,Combined Values,2022
Abr*,64.933,2.728,1.577,936.0,2.81,Combined Values,2022
Mai*,71.438,2.711,1.717,967.0,2.806,Combined Values,2022
Jun*,66.636,2.625,1.607,990.0,2.731,Combined Values,2022
Jul*,66.366,2.538,1.624,980.0,2.663,Combined Values,2022
Ago*,73.34,2.744,1.633,923.0,2.864,Combined Values,2022
Set*,70.431,2.802,1.701,917.0,2.903,Combined Values,2022
Out*,71.986,2.848,1.708,988.0,2.983,Combined Values,2022
Nov*,69.034,2.871,1.758,1.007,2.987,Combined Values,2022
Dez*,66.572,2.508,1.893,1.08,3.064,Combined Values,2022
2022,794.18,2.609,1.635,934.0,3.064,Combined Values,2022
Jan*, 23.408 , 891 , 623 , 363 , 982 ,1,2023
Fev*, 23.465 , 1.025 , 660 , 375 , 1.075 ,1,2023
Mar*, 27.945 , 1.087 , 692 , 384 , 1.120 ,1,2023
Abr*, 25.545 , 1.091 , 639 , 375 , 1.130 ,1,2023
Mai,,,,,,1,2023
Jun,,,,,,1,2023
Jul,,,,,,1,2023
Ago,,,,,,1,2023
Set,,,,,,1,2023
Out,,,,,,1,2023
Nov,,,,,,1,2023
Dez,,,,,,1,2023
2023, 100.364 , 1.024 , 654 , 374 , 1.130 ,1,2023
Jan*, 13.130 , 519 , 285 , 180 , 588 ,2,2023
Fev*, 13.364 , 609 , 311 , 196 , 643 ,2,2023
Mar*, 16.048 , 649 , 325 , 201 , 678 ,2,2023
Abr*, 14.544 , 649 , 299 , 189 , 671 ,2,2023
Mai,,,,,,2,2023
Jun,,,,,,2,2023
Jul,,,,,,2,2023
Ago,,,,,,2,2023
Set,,,,,,2,2023
Out,,,,,,2,2023
Nov,,,,,,2,2023
Dez,,,,,,2,2023
2023, 57.085 , 606 , 305 , 191 , 678 ,2,2023
Jan*, 23.278 , 887 , 603 , 372 , 978 ,3,2023
Fev*, 23.296 , 1.012 , 657 , 395 , 1.065 ,3,2023
Mar*, 27.409 , 1.067 , 676 , 387 , 1.096 ,3,2023
Abr*, 25.011 , 1.066 , 627 , 371 , 1.157 ,3,2023
Mai,,,,,,3,2023
Jun,,,,,,3,2023
Jul,,,,,,3,2023
Ago,,,,,,3,2023
Set,,,,,,3,2023
Out,,,,,,3,2023
Nov,,,,,,3,2023
Dez,,,,,,3,2023
2023, 98.994 , 1.008 , 641 , 381 , 1.157 ,3,2023
Jan*,2.519,99.0,57.0,34.0,114.0,15,2023
Fev*,2.576,117.0,61.0,36.0,125.0,15,2023
Mar*,2.876,120.0,65.0,35.0,128.0,15,2023
Abr*,2.827,124.0,63.0,37.0,127.0,15,2023
Mai,,,,,,15,2023
Jun,,,,,,15,2023
Jul,,,,,,15,2023
Ago,,,,,,15,2023
Set,,,,,,15,2023
Out,,,,,,15,2023
Nov,,,,,,15,2023
Dez,,,,,,15,2023
2023,10.797,115.0,62.0,35.0,128.0,15,2023
Jan*,62.335,2.396,1.568,949.0,2.655,Combined Values,2023
Fev*,62.7,2.763,1.689,1.001,2.904,Combined Values,2023
Mar*,74.279,2.922,1.759,1.007,3.006,Combined Values,2023
Abr*,67.926,2.93,1.629,971.0,3.07,Combined Values,2023
Mai,,,,,,Combined Values,2023
Jun,,,,,,Combined Values,2023
Jul,,,,,,Combined Values,2023
Ago,,,,,,Combined Values,2023
Set,,,,,,Combined Values,2023
Out,,,,,,Combined Values,2023
Nov,,,,,,Combined Values,2023
Dez,,,,,,Combined Values,2023
2023,267.24,2.753,1.661,982.0,3.07,Combined Values,2023
