,year_month,line_color,total,MDU (Business Days Mean),MSD (Saturdays Mean),MDO (Sundays Mean),MAX (Daily Max)
56,2019-10-01,Prata,2420,93,47,24,95
57,2019-10-01,Vermelha,38994,1454,909,520,1513
58,2019-10-01,Verde,21563,827,394,256,847
59,2019-10-01,Azul,39719,1481,914,538,1539
144,2019-10-01,Amarela,21387.0,818.0,386.0,255.0,854.0
145,2019-10-01,Lilás,16098.0,610.0,325.0,190.0,625.0
146,2019-11-01,Amarela,19412.0,836.0,392.0,238.0,872.0
147,2019-11-01,Lilás,14569.0,622.0,316.0,182.0,644.0
63,2019-11-01,Verde,19075,830,379,240,853
60,2019-11-01,Vermelha,35360,1463,892,506,1513
61,2019-11-01,Prata,2030,94,23,24,96
62,2019-11-01,Azul,35360,1477,873,491,1532
66,2019-12-01,Azul,32888,1330,887,537,1500
149,2019-12-01,Lilás,14031.0,548.0,217.0,119.0,649.0
148,2019-12-01,Amarela,17788.0,703.0,400.0,261.0,859.0
64,2019-12-01,Verde,17616,745,375,260,844
65,2019-12-01,Vermelha,33225,1332,924,557,1479
67,2019-12-01,Prata,1953,87,29,17,96
151,2020-01-01,Lilás,13660.0,535.0,279.0,167.0,580.0
71,2020-01-01,Prata,2419,98,35,21,111
70,2020-01-01,Vermelha,31597,1213,721,428,1319
69,2020-01-01,Verde,17665,702,308,208,775
150,2020-01-01,Amarela,17750.0,702.0,335.0,202.0,777.0
68,2020-01-01,Azul,31546,1214,705,428,1344
74,2020-02-01,Azul,32483,1410,856,494,1483
153,2020-02-01,Amarela,18294.0,763.0,441.0,310.0,853.0
72,2020-02-01,Vermelha,31992,1382,860,528,1451
152,2020-02-01,Lilás,13806.0,587.0,330.0,196.0,650.0
75,2020-02-01,Prata,2497,116,60,27,122
73,2020-02-01,Verde,18033,826,390,257,870
76,2020-03-01,Prata,,,,,
78,2020-03-01,Verde,12945,515,217,148,839
155,2020-03-01,Amarela,13139.0,521.0,232.0,151.0,861.0
154,2020-03-01,Lilás,10674.0,419.0,208.0,126.0,652.0
77,2020-03-01,Vermelha,24332,939,511,325,1478
79,2020-03-01,Azul,23635,918,484,302,1493
80,2020-04-01,Azul,6868,277,164,102,317
81,2020-04-01,Verde,3726,155,78,49,168
82,2020-04-01,Vermelha,7984,323,189,117,362
83,2020-04-01,Prata,,,,,
157,2020-04-01,Lilás,3695.0,150.0,89.0,51.0,166.0
156,2020-04-01,Amarela,3806.0,158.0,83.0,48.0,174.0
159,2020-05-01,Amarela,4062.0,175.0,91.0,49.0,182.0
158,2020-05-01,Lilás,4008.0,167.0,99.0,56.0,175.0
84,2020-05-01,Prata,,,,,
87,2020-05-01,Azul,7700,318,188,111,333
86,2020-05-01,Verde,4000,171,86,53,178
85,2020-05-01,Vermelha,8889,369,215,127,385
89,2020-06-01,Prata,663,27,15,9,39
90,2020-06-01,Azul,10074,391,239,128,438
91,2020-06-01,Vermelha,11542,448,272,152,494
161,2020-06-01,Lilás,5139.0,200.0,121.0,65.0,221.0
160,2020-06-01,Amarela,5278.0,208.0,113.0,60.0,230.0
88,2020-06-01,Verde,5210,206,106,61,233
92,2020-07-01,Vermelha,14675,546,359,182,593
93,2020-07-01,Verde,6651,254,137,73,281
95,2020-07-01,Prata,1161,44,26,13,49
94,2020-07-01,Azul,13023,484,322,155,527
162,2020-07-01,Amarela,6746.0,255.0,149.0,71.0,276.0
163,2020-07-01,Lilás,6544.0,244.0,156.0,78.0,264.0
99,2020-08-01,Azul,14306,553,363,174,596
98,2020-08-01,Verde,7393,295,158,83,314
97,2020-08-01,Vermelha,15807,610,398,202,660
96,2020-08-01,Prata,1333,52,32,16,57
164,2020-08-01,Amarela,7324.0,290.0,168.0,81.0,312.0
165,2020-08-01,Lilás,7100.0,277.0,172.0,85.0,299.0
103,2020-09-01,Verde,8150,329,181,97,344
100,2020-09-01,Vermelha,17121,671,453,233,698
166,2020-09-01,Amarela,7980.0,320.0,193.0,95.0,338.0
167,2020-09-01,Lilás,7728.0,306.0,196.0,98.0,323.0
102,2020-09-01,Azul,15697,616,419,207,643
101,2020-09-01,Prata,1513,60,38,20,63
168,2020-10-01,Amarela,8892.0,347.0,208.0,107.0,368.0
169,2020-10-01,Lilás,8614.0,334.0,208.0,105.0,348.0
104,2020-10-01,Vermelha,18881,722,482,252,759
105,2020-10-01,Verde,9020,356,196,107,371
106,2020-10-01,Azul,17480,668,453,224,698
107,2020-10-01,Prata,1650,64,39,21,68
108,2020-11-01,Prata,1631,66,42,24,70
109,2020-11-01,Vermelha,18956,754,538,289,798
110,2020-11-01,Verde,9080,374,217,124,387
111,2020-11-01,Azul,17630,703,503,259,736
170,2020-11-01,Amarela,8976.0,365.0,234.0,122.0,385.0
171,2020-11-01,Lilás,8669.0,346.0,233.0,116.0,372.0
173,2020-12-01,Lilás,8844.0,337.0,222.0,118.0,385.0
172,2020-12-01,Amarela,8785.0,337.0,213.0,114.0,392.0
114,2020-12-01,Azul,17629,696,467,252,757
115,2020-12-01,Verde,8889,364,197,114,394
113,2020-12-01,Prata,1692,68,42,23,73
112,2020-12-01,Vermelha,19256,758,512,283,839
174,2021-01-01,Lilás,8033.0,336.0,183.0,104.0,360.0
175,2021-01-01,Amarela,8042.0,341.0,172.0,101.0,365.0
176,2021-02-01,Amarela,8395.0,360.0,206.0,110.0,375.0
177,2021-02-01,Lilás,8374.0,356.0,214.0,112.0,370.0
178,2021-03-01,Lilás,7430.0,299.0,153.0,77.0,377.0
179,2021-03-01,Amarela,7060.0,288.0,135.0,69.0,373.0
180,2021-04-01,Lilás,6913.0,289.0,160.0,84.0,327.0
181,2021-04-01,Amarela,6530.0,276.0,141.0,77.0,317.0
182,2021-05-01,Amarela,8284.0,324.0,193.0,103.0,346.0
183,2021-05-01,Lilás,8408.0,328.0,200.0,105.0,349.0
185,2021-06-01,Amarela,8721.0,336.0,216.0,114.0,357.0
184,2021-06-01,Lilás,8844.0,341.0,222.0,114.0,359.0
186,2021-07-01,Lilás,9147.0,351.0,221.0,118.0,374.0
187,2021-07-01,Amarela,9139.0,350.0,222.0,119.0,373.0
188,2021-08-01,Amarela,10049.0,386.0,231.0,129.0,405.0
189,2021-08-01,Lilás,10004.0,384.0,235.0,124.0,400.0
190,2021-09-01,Amarela,10409.0,409.0,252.0,149.0,431.0
191,2021-09-01,Lilás,10097.0,399.0,251.0,137.0,412.0
192,2021-10-01,Lilás,10470.44,416.75,263.12,130.84,440.64
193,2021-10-01,Amarela,10956.07,434.81,272.26,146.87,478.42
194,2021-11-01,Lilás,10990.58,442.99,285.38,160.61,459.23
195,2021-11-01,Amarela,11712.12,469.24,300.21,188.66,497.47
196,2021-12-01,Lilás,11037.81,405.61,261.28,165.94,479.79
197,2021-12-01,Amarela,11566.89,423.65,272.63,183.1,514.81
198,2022-01-01,Amarela,9745.14,381.81,209.48,135.96,420.11
199,2022-01-01,Lilás,9286.51,364.58,202.18,123.9,397.23
201,2022-02-01,Lilás,10180.0,426.0,270.0,145.0,450.0
200,2022-02-01,Amarela,10885.0,450.0,289.0,180.0,486.0
202,2022-03-01,Lilás,12297.0,469.0,288.0,151.0,500.0
203,2022-03-01,Amarela,13697.0,523.0,322.0,172.0,575.0
204,2022-04-01,Amarela,13019.0,550.0,299.0,165.0,591.0
205,2022-04-01,Lilás,11533.0,482.0,276.0,155.0,500.0
206,2022-05-01,Amarela,14873.24,569.18,337.49,200.28,606.09
207,2022-05-01,Lilás,12740.79,488.3,299.87,159.75,507.22
208,2022-06-01,Amarela,14239.84,559.54,322.67,223.49,587.65
209,2022-06-01,Lilás,12099.73,479.0,283.96,155.88,541.79
210,2022-07-01,Lilás,12042.05,466.2,285.91,164.46,484.27
211,2022-07-01,Amarela,14178.13,548.41,328.38,203.91,586.31
212,2022-08-01,Amarela,15871.08,599.54,327.55,192.89,640.13
213,2022-08-01,Lilás,13310.68,500.75,292.18,156.23,519.06
215,2022-09-01,Amarela,15427.31,619.43,341.23,205.33,653.67
214,2022-09-01,Lilás,12606.29,505.5,298.03,153.91,517.4
216,2022-10-01,Lilás,12854.25,512.52,301.32,176.27,533.04
217,2022-10-01,Amarela,15642.63,626.43,350.85,224.48,660.21
218,2022-11-01,Lilás,12404.96,503.71,314.49,169.51,538.67
219,2022-11-01,Amarela,14955.05,613.22,357.0,205.72,659.99
220,2022-12-01,Amarela,14236.08,544.98,299.08,187.76,693.28
221,2022-12-01,Lilás,11837.35,448.87,264.37,160.11,550.56
222,2023-01-01,Lilás,10976.23,427.2,271.01,139.44,468.66
223,2023-01-01,Amarela,13605.41,530.98,311.82,186.86,594.24
224,2023-02-01,Lilás,11015.86,473.46,289.52,161.31,516.8
225,2023-02-01,Amarela,13777.19,580.3,387.56,224.68,639.51
226,2023-03-01,Lilás,13455.77,503.11,305.23,165.84,535.97
227,2023-03-01,Amarela,17370.64,649.07,389.01,221.48,711.99
228,2023-04-01,Lilás,11792.22,510.81,282.42,160.71,527.25
229,2023-04-01,Amarela,15070.57,661.45,338.3,201.58,701.71
