OPERAÇÃO ASSISTIDA ADOLFO PINHEIRO - BROOKLIN - SETEMBRO/17;;;;;;;;;;;;;;;
data;semana;Adolfo Pinheiro;Alto da Boa Vista;Borba Gato;Brooklin;TOTAL;;;;;;;;;
OPERAÇÃO ASSISTIDA ADOLFO PINHEIRO - BROOKLIN - OUTUBRO/17;;;;;;;;;;;;;;;
data;semana;Adolfo Pinheiro;Alto da Boa Vista;Borba Gato;Brooklin;TOTAL;;;;;;;;;
02/10/17;2ª feira; 1.050 ; 437 ; 742 ; 499 ; 2.728 ;;;;;;;;;
03/10/17;3ª feira; 1.157 ; 379 ; 860 ; 574 ; 2.970 ;;;;;;;;;
04/10/17;4ª feira; 1.102 ; 419 ; 696 ; 543 ; 2.760 ;;;;;;;;;
05/10/17;5ª feira; 1.208 ; 460 ; 891 ; 603 ; 3.162 ;;;;;;;;;
06/10/17;6ª feira; 1.134 ; 398 ; 826 ; 621 ; 2.979 ;;;;;;;;;
07/10/17;sábado; 527 ; 320 ; 366 ; 343 ; 1.556 ;;;;;;;;;
SUB-TOTAL;; 6.178 ; 2.413 ; 4.381 ; 3.183 ; 16.155 ;;;;;;;;;
09/10/17;2ª feira; 1.179 ; 467 ; 769 ; 503 ; 2.918 ;;;;;;;;;
10/10/17;3ª feira; 1.152 ; 477 ; 882 ; 515 ; 3.026 ;;;;;;;;;
11/10/17;4ª feira; 1.119 ; 462 ; 806 ; 530 ; 2.917 ;;;;;;;;;
12/10/17;5ª feira; não houve operação assistida ;;;;;;;;;;;;;
13/10/17;6ª feira; 759 ; 308 ; 555 ; 478 ; 2.100 ;;;;;;;;;
14/10/17;sábado; 507 ; 271 ; 368 ; 327 ; 1.473 ;;;;;;;;;
SUB-TOTAL;; 4.716 ; 1.985 ; 3.380 ; 2.353 ; 12.434 ;;;;;;;;;
16/10/17;2ª feira; 1.104 ; 456 ; 774 ; 516 ; 2.850 ;;;;;;;;;
17/10/17;3ª feira; 1.151 ; 436 ; 864 ; 502 ; 2.953 ;;;;;;;;;
18/10/17;4ª feira; 1.143 ; 491 ; 854 ; 472 ; 2.960 ;;;;;;;;;
19/10/17;5ª feira; 1.187 ; 446 ; 853 ; 491 ; 2.977 ;;;;;;;;;
20/10/17;6ª feira; 1.018 ; 394 ; 746 ; 512 ; 2.670 ;;;;;;;;;
21/10/17;sábado; 526 ; 390 ; 403 ; 408 ; 1.727 ;;;;;;;;;
SUB-TOTAL;; 6.129 ; 2.613 ; 4.494 ; 2.901 ; 16.137 ;;;;;;;;;
TOTAL DE OUTUBRO;; 17.023 ; 7.011 ; 12.255 ; 8.437 ; 44.726 ;;;;;;;;;
;;;;;;;;;;;;;;;
TOTAL GERAL ;; 43.233 ; 18.161 ; 30.045 ; 25.099 ; 116.538 ;;;;;;;;;
Fonte: Diretoria de Operações/Coordenadoria de Estratégia Operacional;;;;;;out/17;;;;;;;;;
