,Station,January,February,March,April,May,June,July,August,September,October,November,December,Mean,Year,Line
50,Anhangabaú,32,33,26,25,29,31,32,35,37,39,42,38,33,2021,3_Red
51,República,72,76,58,56,67,70,73,79,84,89,96,90,76,2021,3_Red
52,Santa Cecília ,16,17,14,14,16,16,16,18,19,19,21,19,17,2021,3_Red
53,Marechal Deodoro ,18,19,16,15,17,17,18,20,21,22,23,21,19,2021,3_Red
54,Palmeiras-Barra Funda,95,101,82,78,87,90,94,100,108,115,123,118,99,2021,3_Red
55,Vila Prudente¹,31,31,27,26,29,28,35,38,41,42,45,41,35,2021,15_Silver
56,Oratório,3,3,3,3,3,3,4,4,4,4,5,4,4,2021,15_Silver
57,São Lucas,3,3,2,2,3,3,3,3,4,4,4,4,3,2021,15_Silver
58,Camilo Haddad,2,2,2,2,2,2,2,2,3,3,3,3,2,2021,15_Silver
59,Vila Tolstói,3,3,2,2,3,3,3,3,3,4,4,4,3,2021,15_Silver
60,Vila União,3,4,3,3,3,3,4,4,4,4,5,4,4,2021,15_Silver
61,Jardim Planalto,2,3,2,2,2,3,3,3,3,3,3,3,3,2021,15_Silver
62,Sapopemba,5,5,4,4,5,5,5,6,6,6,7,6,5,2021,15_Silver
63,Fazenda da Juta,2,2,2,2,2,2,2,3,3,3,3,3,2,2021,15_Silver
64,São Mateus,11,12,11,10,12,12,13,14,14,15,16,15,13,2021,15_Silver
65,Jardim Colonial,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,15_Silver
66,Jabaquara,53,58,63,66,66,64,64,66,67,69,69,64,64,2022,1_Blue
67,Conceição ,16,20,22,24,23,22,21,23,24,24,25,21,22,2022,1_Blue
68,São Judas ,10,11,13,14,13,13,13,13,14,15,14,13,13,2022,1_Blue
69,Saúde ,18,22,24,25,25,24,23,25,26,26,27,23,24,2022,1_Blue
70,Praça da Árvore ,10,12,14,14,14,14,13,15,14,15,15,13,14,2022,1_Blue
71,Santa Cruz,66,77,84,89,88,86,84,89,90,91,91,82,85,2022,1_Blue
72,Vila Mariana ,11,15,18,19,19,17,14,19,19,19,19,14,17,2022,1_Blue
73,Ana Rosa¹,46,57,65,68,68,66,62,70,71,71,72,60,65,2022,1_Blue
74,Paraíso¹,57,69,80,84,84,81,77,87,89,89,90,75,80,2022,1_Blue
75,Vergueiro ,16,21,23,24,24,22,21,25,25,25,25,21,23,2022,1_Blue
76,São Joaquim ,14,18,23,24,24,22,18,25,28,29,28,19,23,2022,1_Blue
77,Japão-Liberdade ,14,16,18,20,19,18,20,20,20,21,20,20,19,2022,1_Blue
78,Sé2,125,145,164,168,165,161,155,165,168,170,173,154,159,2022,1_Blue
79,São Bento,38,42,44,47,46,46,46,46,47,52,53,52,47,2022,1_Blue
80,Luz,86,100,108,114,115,111,111,117,119,127,126,113,112,2022,1_Blue
81,Tiradentes ,8,13,15,15,15,14,12,15,16,15,15,11,14,2022,1_Blue
82,Armênia ,15,17,19,21,21,20,19,20,21,20,21,17,19,2022,1_Blue
83,Portuguesa-Tietê ,35,36,40,43,42,41,44,42,44,44,43,44,42,2022,1_Blue
84,Carandiru ,7,9,10,10,10,10,9,10,11,10,11,9,10,2022,1_Blue
85,Santana ,35,38,45,47,47,43,44,47,48,48,49,43,45,2022,1_Blue
86,Jardim São Paulo-Ayrton Senna,7,8,10,10,10,10,9,10,11,11,11,9,10,2022,1_Blue
87,Parada Inglesa ,7,9,10,11,11,11,10,11,11,12,12,10,10,2022,1_Blue
88,Tucuruvi ,39,46,50,53,52,51,49,53,54,55,55,49,51,2022,1_Blue
89,Vila Prudente¹,48,57,62,67,66,65,64,68,71,69,70,61,64,2022,2_Green
90,Tamanduateí,47,54,60,64,64,63,59,65,66,68,69,60,62,2022,2_Green
91,Sacomã,26,31,35,36,36,35,34,37,38,38,38,33,35,2022,2_Green
92,Alto do Ipiranga ,11,14,16,17,17,16,15,17,17,17,18,14,16,2022,2_Green
93,Santos-Imigrantes ,9,10,11,12,12,12,11,12,12,13,13,11,12,2022,2_Green
94,Chácara Klabin ,48,57,64,66,67,66,64,70,72,72,71,52,64,2022,2_Green
95,Ana Rosa²,41,48,54,56,56,54,52,57,57,59,59,52,54,2022,2_Green
96,Paraíso²,42,49,56,58,84,56,53,59,60,61,61,53,58,2022,2_Green
97,Brigadeiro ,28,34,39,42,42,41,41,44,44,45,46,40,41,2022,2_Green
98,Trianon-Masp ,24,30,37,39,40,38,36,41,42,43,42,35,37,2022,2_Green
99,Consolação,55,67,83,86,87,82,79,89,92,93,95,78,82,2022,2_Green
100,Clínicas ,13,16,18,19,19,18,17,19,19,19,19,16,18,2022,2_Green
101,Santuário N.S. de Fátima-Sumaré ,5,7,8,8,9,8,8,9,9,9,9,8,8,2022,2_Green
102,Vila Madalena,11,15,17,18,18,17,16,18,18,19,19,16,17,2022,2_Green
103,Corinthians-Itaquera,56,66,80,75,73,72,69,73,73,74,75,68,71,2022,3_Red
104,Artur Alvim,39,47,51,52,53,51,49,53,54,54,55,49,51,2022,3_Red
105,Patriarca ,14,17,19,20,19,19,18,20,20,20,20,18,19,2022,3_Red
106,Guilhermina-Esperança ,14,17,18,19,19,19,18,19,20,20,20,18,18,2022,3_Red
107,Vila Matilde ,17,21,23,24,24,23,22,25,25,25,25,22,23,2022,3_Red
108,Penha ,19,23,25,26,26,26,24,26,27,27,27,23,25,2022,3_Red
109,Carrão ,29,36,46,47,47,42,36,46,47,48,47,35,42,2022,3_Red
110,Tatuapé,53,62,71,71,71,70,69,71,72,72,74,68,69,2022,3_Red
111,Belém ,26,30,33,34,34,34,32,35,35,36,36,31,33,2022,3_Red
112,Bresser-Moóca ,21,24,30,31,30,29,26,31,32,32,32,26,29,2022,3_Red
113,Brás,67,73,78,81,79,77,74,74,75,78,78,79,76,2022,3_Red
114,Pedro II ,13,15,16,16,16,15,15,16,16,16,16,14,15,2022,3_Red
115,Sé¹,136,159,178,186,186,179,174,187,190,195,195,171,178,2022,3_Red
116,Anhangabaú,34,40,43,46,46,44,44,46,47,50,50,43,44,2022,3_Red
117,República,79,91,104,108,109,107,105,111,114,115,117,105,105,2022,3_Red
118,Santa Cecília ,17,20,22,23,22,21,20,22,23,23,23,20,21,2022,3_Red
119,Marechal Deodoro ,19,23,25,26,25,25,23,26,26,26,26,22,24,2022,3_Red
120,Palmeiras-Barra Funda,105,120,134,139,131,130,129,135,140,141,144,130,132,2022,3_Red
121,Vila Prudente¹,31,31,27,26,29,28,35,38,41,42,45,41,35,2022,15_Silver
122,Oratório,3,3,3,3,3,3,4,4,4,4,5,4,4,2022,15_Silver
123,São Lucas,3,3,2,2,3,3,3,3,4,4,4,4,3,2022,15_Silver
124,Camilo Haddad,2,2,2,2,2,2,2,2,3,3,3,3,2,2022,15_Silver
125,Vila Tolstói,3,3,2,2,3,3,3,3,3,4,4,4,3,2022,15_Silver
126,Vila União,3,4,3,3,3,3,4,4,4,4,5,4,4,2022,15_Silver
127,Jardim Planalto,2,3,2,2,2,3,3,3,3,3,3,3,3,2022,15_Silver
128,Sapopemba,5,5,4,4,5,5,5,6,6,6,7,6,5,2022,15_Silver
129,Fazenda da Juta,2,2,2,2,2,2,2,3,3,3,3,3,2,2022,15_Silver
130,São Mateus,11,12,11,10,12,12,13,14,14,15,16,15,13,2022,15_Silver
131,Jardim Colonial,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,15_Silver
132,Jabaquara, 63 , 66 , 70 , 72 ,,,,,,,,, 68 ,2023,1_Blue
133,Conceição , 20 , 24 , 26 , 26 ,,,,,,,,, 24 ,2023,1_Blue
134,São Judas , 12 , 14 , 15 , 15 ,,,,,,,,, 14 ,2023,1_Blue
135,Saúde , 21 , 26 , 27 , 27 ,,,,,,,,, 25 ,2023,1_Blue
136,Praça da Árvore , 12 , 15 , 15 , 15 ,,,,,,,,, 14 ,2023,1_Blue
137,Santa Cruz, 76 , 88 , 91 , 91 ,,,,,,,,, 87 ,2023,1_Blue
138,Vila Mariana , 13 , 19 , 21 , 21 ,,,,,,,,, 19 ,2023,1_Blue
139,Ana Rosa¹, 59 , 70 , 75 , 75 ,,,,,,,,, 70 ,2023,1_Blue
140,Paraíso¹, 73 , 87 , 94 , 94 ,,,,,,,,, 87 ,2023,1_Blue
141,Vergueiro , 21 , 25 , 26 , 26 ,,,,,,,,, 25 ,2023,1_Blue
142,São Joaquim , 17 , 24 , 33 , 34 ,,,,,,,,, 27 ,2023,1_Blue
143,Japão-Liberdade , 19 , 20 , 22 , 22 ,,,,,,,,, 21 ,2023,1_Blue
144,Sé2, 144 , 164 , 172 , 171 ,,,,,,,,, 163 ,2023,1_Blue
145,São Bento, 48 , 51 , 51 , 51 ,,,,,,,,, 50 ,2023,1_Blue
146,Luz, 108 , 122 , 127 , 130 ,,,,,,,,, 122 ,2023,1_Blue
147,Tiradentes , 10 , 15 , 16 , 16 ,,,,,,,,, 14 ,2023,1_Blue
148,Armênia , 17 , 20 , 21 , 21 ,,,,,,,,, 20 ,2023,1_Blue
149,Portuguesa-Tietê , 43 , 43 , 44 , 45 ,,,,,,,,, 44 ,2023,1_Blue
150,Carandiru , 8 , 10 , 11 , 11 ,,,,,,,,, 10 ,2023,1_Blue
151,Santana , 41 , 47 , 50 , 50 ,,,,,,,,, 47 ,2023,1_Blue
152,Jardim São Paulo-Ayrton Senna, 8 , 11 , 11 , 11 ,,,,,,,,, 10 ,2023,1_Blue
153,Parada Inglesa , 9 , 11 , 12 , 12 ,,,,,,,,, 11 ,2023,1_Blue
154,Tucuruvi , 47 , 54 , 56 , 56 ,,,,,,,,, 53 ,2023,1_Blue
155,Vila Prudente¹, 61 , 71 , 74 , 76 ,,,,,,,,, 71 ,2023,2_Green
156,Tamanduateí, 60 , 68 , 71 , 72 ,,,,,,,,, 68 ,2023,2_Green
157,Sacomã, 33 , 38 , 40 , 40 ,,,,,,,,, 38 ,2023,2_Green
158,Alto do Ipiranga , 14 , 17 , 18 , 18 ,,,,,,,,, 17 ,2023,2_Green
159,Santos-Imigrantes , 11 , 13 , 14 , 14 ,,,,,,,,, 13 ,2023,2_Green
160,Chácara Klabin , 51 , 61 , 64 , 63 ,,,,,,,,, 60 ,2023,2_Green
161,Ana Rosa², 49 , 57 , 60 , 61 ,,,,,,,,, 57 ,2023,2_Green
162,Paraíso², 51 , 59 , 63 , 63 ,,,,,,,,, 59 ,2023,2_Green
163,Brigadeiro , 40 , 45 , 48 , 48 ,,,,,,,,, 45 ,2023,2_Green
164,Trianon-Masp , 35 , 41 , 46 , 46 ,,,,,,,,, 42 ,2023,2_Green
165,Consolação, 76 , 90 , 99 , 99 ,,,,,,,,, 91 ,2023,2_Green
166,Clínicas , 17 , 20 , 21 , 21 ,,,,,,,,, 20 ,2023,2_Green
167,Santuário N.S. de Fátima-Sumaré , 7 , 9 , 10 , 10 ,,,,,,,,, 9 ,2023,2_Green
168,Vila Madalena, 15 , 19 , 20 , 20 ,,,,,,,,, 19 ,2023,2_Green
169,Corinthians-Itaquera, 64 , 72 , 73 , 74 ,,,,,,,,, 71 ,2023,3_Red
170,Artur Alvim, 46 , 53 , 55 , 55 ,,,,,,,,, 52 ,2023,3_Red
171,Patriarca , 17 , 20 , 21 , 21 ,,,,,,,,, 20 ,2023,3_Red
172,Guilhermina-Esperança , 17 , 20 , 21 , 21 ,,,,,,,,, 20 ,2023,3_Red
173,Vila Matilde , 21 , 25 , 26 , 26 ,,,,,,,,, 25 ,2023,3_Red
174,Penha , 22 , 26 , 28 , 28 ,,,,,,,,, 26 ,2023,3_Red
175,Carrão , 34 , 44 , 51 , 50 ,,,,,,,,, 45 ,2023,3_Red
176,Tatuapé, 64 , 71 , 75 , 76 ,,,,,,,,, 72 ,2023,3_Red
177,Belém , 31 , 36 , 38 , 37 ,,,,,,,,, 36 ,2023,3_Red
178,Bresser-Moóca , 24 , 29 , 33 , 32 ,,,,,,,,, 30 ,2023,3_Red
179,Brás, 66 , 72 , 74 , 76 ,,,,,,,,, 72 ,2023,3_Red
180,Pedro II , 14 , 15 , 16 , 15 ,,,,,,,,, 15 ,2023,3_Red
181,Sé¹, 164 , 189 , 199 , 200 ,,,,,,,,, 188 ,2023,3_Red
182,Anhangabaú, 42 , 48 , 50 , 51 ,,,,,,,,, 48 ,2023,3_Red
183,República, 101 , 111 , 118 , 119 ,,,,,,,,, 112 ,2023,3_Red
184,Santa Cecília , 19 , 22 , 23 , 23 ,,,,,,,,, 22 ,2023,3_Red
185,Marechal Deodoro , 22 , 25 , 27 , 26 ,,,,,,,,, 25 ,2023,3_Red
186,Palmeiras-Barra Funda, 119 , 134 , 138 , 134 ,,,,,,,,, 131 ,2023,3_Red
187,Vila Prudente¹,31,31,27,26,29,28,35,38,41,42,45,41,35,2023,15_Silver
188,Oratório,3,3,3,3,3,3,4,4,4,4,5,4,4,2023,15_Silver
189,São Lucas,3,3,2,2,3,3,3,3,4,4,4,4,3,2023,15_Silver
190,Camilo Haddad,2,2,2,2,2,2,2,2,3,3,3,3,2,2023,15_Silver
191,Vila Tolstói,3,3,2,2,3,3,3,3,3,4,4,4,3,2023,15_Silver
192,Vila União,3,4,3,3,3,3,4,4,4,4,5,4,4,2023,15_Silver
193,Jardim Planalto,2,3,2,2,2,3,3,3,3,3,3,3,3,2023,15_Silver
194,Sapopemba,5,5,4,4,5,5,5,6,6,6,7,6,5,2023,15_Silver
195,Fazenda da Juta,2,2,2,2,2,2,2,3,3,3,3,3,2,2023,15_Silver
196,São Mateus,11,12,11,10,12,12,13,14,14,15,16,15,13,2023,15_Silver
197,Jardim Colonial,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,15_Silver
