date;week;accumulated_cases;new_cases;accumulated_deaths;new_deaths
2020-05-27;22;49264;1710;3826;135
2020-05-28;22;52719;3455;3958;132
2020-05-29;22;55741;3022;4116;158
2020-05-30;22;58619;2878;4239;123
2020-05-31;23;60131;1512;4280;41
2020-06-01;23;61126;995;4304;24
2020-06-02;23;64443;3317;4443;139
2020-06-03;23;66777;2334;4564;121
2020-06-04;23;69347;2570;4674;110
2020-06-05;23;71453;2106;4805;131
2020-06-06;23;73861;2408;4901;96
2020-06-07;24;74796;935;4920;19
2020-06-08;24;75699;903;4937;17
2020-06-09;24;78026;2327;5073;136
2020-06-10;24;80457;2431;5232;159
2020-06-11;24;83076;2619;5357;125
2020-06-12;24;85622;2546;5480;123
2020-06-13;24;88025;2403;5599;119
2020-06-14;25;91198;3173;5623;24
2020-06-15;25;93448;2250;5652;29
2020-06-16;25;97676;4228;5819;167
2020-06-17;25;98132;456;5959;140
2020-06-18;25;98530;398;6097;138
2020-06-19;25;105407;6877;6255;158
2020-06-20;25;105591;184;6371;116
2020-06-21;26;106540;949;6387;16
2020-06-22;26;107731;1191;6404;17
2020-06-23;26;110214;2483;6583;179
2020-06-24;26;113261;3047;6675;92
2020-06-25;26;117311;4050;6794;119
2020-06-26;26;121163;3852;6880;86
2020-06-27;26;122759;1596;6982;102
2020-06-28;27;124105;1346;7003;21
2020-06-29;27;125012;907;7026;23
2020-06-30;27;127119;2107;7162;136
2020-07-01;27;129328;2209;7258;96
2020-07-02;27;134984;5656;7370;112
2020-07-03;27;137074;2090;7479;109
2020-07-04;27;137762;688;7597;118
2020-07-05;28;139871;2109;7621;24
2020-07-06;28;140231;360;7634;13
2020-07-07;28;142502;2271;7743;109
2020-07-08;28;144573;2071;7864;121
2020-07-09;28;146739;2166;7964;100
2020-07-10;28;149431;2692;8089;125
2020-07-11;28;151365;1934;8176;87
2020-07-12;29;152806;1441;8212;36
2020-07-13;29;154013;1207;8231;19
2020-07-14;29;158802;4789;8336;105
2020-07-15;29;160326;1524;8451;115
2020-07-16;29;162242;1916;8585;134
2020-07-17;29;163624;1382;8696;111
2020-07-18;29;165094;1470;8770;74
2020-07-19;30;166073;979;8778;8
2020-07-20;30;166348;275;8799;21
2020-07-21;30;167801;1453;8920;121
2020-07-22;30;171119;3318;9025;105
2020-07-23;30;173710;2591;9098;73
2020-07-24;30;176190;2480;9156;58
2020-07-25;30;179115;2925;9205;49
2020-07-26;31;179777;662;9222;17
2020-07-27;31;182027;2250;9241;19
2020-07-28;31;182027;0;9241;0
2020-07-29;31;188827;6800;9396;155
2020-07-30;31;193684;4857;9470;74
2020-07-31;31;197560;3876;9549;79
2020-08-01;31;199674;2114;9619;701
2020-08-02;32;200444;770;9634;151
2020-08-03;32;200705;261;9644;101
2020-08-04;32;203279;2574;9702;581
2020-08-05;32;206102;2823;9806;1041
2020-08-06;32;209559;3457;9909;1031
2020-08-07;32;211469;1910;10012;1031
2020-08-08;32;213507;2038;10085;731
2020-08-09;33;214094;587;10099;141
2020-08-10;33;214329;235;10107;81
2020-08-11;33;217244;2915;10221;1141
2020-08-12;33;224140;6896;10311;901
2020-08-13;33;231203;7063;10453;1421
2020-08-14;33;233987;2784;10563;1101
2020-08-15;33;235519;1532;10592;291
2020-08-16;34;235866;347;10605;131
2020-08-17;34;236163;297;10625;201
2020-08-18;34;237934;1771;10700;751
2020-08-19;34;240115;2181;10761;611
2020-08-20;34;241764;1649;10863;1021
2020-08-21;34;242589;825;10936;731
2020-08-22;34;246492;3903;11003;671
2020-08-23;35;247403;911;11023;201
2020-08-24;35;247730;327;11031;81
2020-08-25;35;250171;2441;11141;1101
2020-08-26;35;252063;1892;11215;741
2020-08-27;35;254146;2083;11278;631
2020-08-28;35;256511;2365;11344;661
2020-08-29;35;257528;1017;11398;541
2020-08-30;36;257778;250;11400;21
2020-08-31;36;257949;171;11408;81
2020-09-01;36;260991;3042;11478;701
2020-09-02;36;262570;1579;11554;761
2020-09-03;36;265066;2496;11611;571
2020-09-04;36;266232;1166;11666;551
2020-09-05;36;267477;1245;11717;511
2020-09-06;37;267767;290;11731;141
2020-09-07;37;267926;159;11735;41
2020-09-08;37;268347;421;11740;51
2020-09-09;37;270000;1653;11856;1161
2020-09-10;37;271505;1505;11933;771
2020-09-11;37;272857;1352;12003;701
2020-09-12;37;274173;1316;12048;451
2020-09-13;38;274467;294;12057;91
2020-09-14;38;274740;273;12068;111
2020-09-15;38;276241;1501;12128;601
2020-09-16;38;277683;1442;12213;851
2020-09-17;38;279193;1510;12266;531
2020-09-18;38;280774;1581;12308;421
2020-09-19;38;282217;1443;12376;681
2020-09-20;39;282498;281;12380;41
2020-09-21;39;282726;228;12384;41
2020-09-22;39;284252;1526;12428;441
2020-09-23;39;285475;1223;12478;501
2020-09-24;39;286862;1387;12504;261
2020-09-25;39;288081;1219;12547;431
2020-09-26;39;289185;1104;12593;461
2020-09-27;40;289308;123;12602;91
2020-09-28;40;289466;158;12605;31
2020-09-29;40;290839;1373;12666;611
2020-09-30;40;292067;1228;12730;641
2020-10-01;40;293210;1143;12797;671
2020-10-02;40;294135;925;12840;431
2020-10-03;40;295234;1099;12891;511
2020-10-04;41;295301;67;12899;81
2020-10-05;41;295425;124;12916;171
2020-10-06;41;296593;1168;12962;461
2020-10-07;41;297583;990;13005;431
2020-10-08;41;298405;822;13056;511
2020-10-09;41;299277;872;13094;381
2020-10-10;41;300487;1210;13124;301
2020-10-11;42;300905;418;13128;41
2020-10-12;42;301021;116;13134;61
2020-10-13;42;301209;188;13142;81
2020-10-14;42;302223;1014;13196;541
2020-10-15;42;303298;1075;13218;221
2020-10-16;42;304364;1066;13265;471
2020-10-17;42;305379;1015;13283;181
2020-10-18;43;305471;92;13290;71
2020-10-19;43;305540;69;13294;41
2020-10-20;43;306428;888;13337;431
2020-10-21;43;307230;802;13358;211
2020-10-22;43;308077;847;13376;181
2020-10-23;43;309507;1430;13395;191
2020-10-24;43;310693;1186;13427;321
2020-10-25;44;311116;423;13431;41
2020-10-26;44;311301;185;13432;11
2020-10-27;44;312632;1331;13451;191
2020-10-28;44;313720;1088;13497;461
2020-10-29;44;315009;1289;13533;361
2020-10-30;44;316265;1256;13581;481
2020-10-31;44;316970;705;13597;161
2020-11-01;45;317215;245;13600;31
2020-11-02;45;317346;131;13605;51
2020-11-03;45;317533;187;13606;11
2020-11-04;45;318533;1000;13660;541
2020-11-05;45;319156;623;13715;551
2020-11-06;45;319156;0;13715;01
2020-11-07;45;319156;0;13715;01
2020-11-08;46;319156;0;13715;01
2020-11-09;46;319156;0;13715;01
2020-11-10;46;319156;0;13715;01
2020-11-11;46;325408;6252;13767;521
2020-11-12;46;327185;1777;13840;731
2020-11-13;46;328953;1768;13840;01
2020-11-14;46;330266;1313;13949;1091
2020-11-15;47;330566;300;13952;31
2020-11-16;47;330753;187;13958;61
2020-11-17;47;333009;2256;14007;491
2020-11-18;47;334733;1724;14067;601
2020-11-19;47;336703;1970;14101;341
2020-11-20;47;338989;2286;14140;391
2020-11-21;47;340537;1548;14169;291
2020-11-22;48;341035;498;14175;61
2020-11-23;48;341340;305;14179;41
2020-11-24;48;342822;1482;14216;371
2020-11-25;48;345445;2623;14261;451
2020-11-26;48;346655;1210;14308;471
2020-11-27;48;347625;970;14340;321
2020-11-28;48;349033;1408;14384;441
2020-11-29;49;349622;589;14394;101
2020-11-30;49;349912;290;14401;71
2020-12-01;49;352144;2232;14470;691
2020-12-02;49;354203;2059;14518;481
2020-12-03;49;356278;2075;14602;841
2020-12-04;49;358390;2112;14637;351
2020-12-05;49;360539;2149;14693;561
2020-12-06;50;361182;643;14698;51
2020-12-07;50;361450;268;14705;71
2020-12-08;50;363495;2045;14761;561
2020-12-09;50;365670;2175;14805;441
2020-12-10;50;367666;1996;14868;631
2020-12-11;50;369620;1954;14906;381
2020-12-12;50;371468;1848;14944;381
2020-12-13;51;371669;201;14968;241
2020-12-14;51;371959;290;14984;161
2020-12-15;51;372875;916;15054;701
2020-12-16;51;372875;0;15054;01
2020-12-17;51;377507;4632;15175;1211
2020-12-18;51;379532;2025;15223;481
2020-12-19;51;382030;2498;15266;431
2020-12-20;52;382030;0;15266;01
2020-12-21;52;382760;730;15280;141
2020-12-22;52;385111;2351;15334;541
2020-12-23;52;387524;2413;15384;501
2020-12-24;52;389822;2298;15440;561
2020-12-25;52;390834;1012;15449;91
2020-12-26;52;391257;423;15456;71
2020-12-27;53;391917;660;15463;71
2020-12-28;53;392401;484;15477;141
2020-12-29;53;395846;3445;15541;641
2020-12-30;53;399061;3215;15601;601
2020-12-31;53;401718;2657;15679;781
2021-01-01;53;402835;1117;15695;161
2021-01-02;53;403388;553;15716;211
2021-01-03;1;404025;637;15725;91
2021-01-04;1;404576;551;15743;181
2021-01-05;1;407557;2981;15836;931
2021-01-06;1;410765;3208;15910;741
2021-01-07;1;413892;3127;15970;601
2021-01-08;1;417221;3329;16040;701
2021-01-09;1;419996;2775;16113;731
2021-01-10;2;420939;943;16130;171
2021-01-11;2;421614;675;16142;121
2021-01-12;2;424252;2638;16208;661
2021-01-13;2;427832;3580;16291;831
2021-01-14;2;430702;2870;16388;971
2021-01-15;2;434168;3466;16486;981
2021-01-16;2;437229;3061;16561;751
2021-01-17;3;438369;1140;16580;191
2021-01-18;3;439011;642;16592;121
2021-01-19;3;442477;3466;16667;751
2021-01-20;3;445876;3399;16772;1051
2021-01-21;3;448744;2868;16855;831
2021-01-22;3;450460;1716;16915;601
2021-01-23;3;453461;3001;16976;611
2021-01-24;4;454355;894;16988;121
2021-01-25;4;454900;545;17004;161
2021-01-26;4;456067;1167;17023;191
2021-01-27;4;459360;3293;17131;1081
2021-01-28;4;462905;3545;17199;681
2021-01-29;4;466172;3267;17250;511
2021-01-30;4;468893;2721;17309;591
2021-01-31;5;469657;764;17333;241
2021-02-01;5;470125;468;17341;81
2021-02-02;5;473263;3138;17412;711
2021-02-03;5;476299;3036;17474;621
2021-02-04;5;479512;3213;17523;491
2021-02-05;5;481934;2422;17583;601
2021-02-06;5;484353;2419;17632;491
2021-02-07;6;485155;802;17650;181
2021-02-08;6;485709;554;17666;161
2021-02-09;6;488446;2737;17759;931
2021-02-10;6;491256;2810;17822;631
2021-02-11;6;493409;2153;17893;711
2021-02-12;6;495938;2529;17954;611
2021-02-13;6;498141;2203;17982;281
2021-02-14;7;498726;585;18000;181
2021-02-15;7;499278;552;18010;101
2021-02-16;7;501625;2347;18081;711
2021-02-17;7;504310;2685;18144;631
2021-02-18;7;506805;2495;18192;481
2021-02-19;7;508944;2139;18236;441
2021-02-20;7;511095;2151;18286;501
2021-02-21;8;511924;829;18306;201
2021-02-22;8;512631;707;18321;151
2021-02-23;8;514913;2282;18391;701
2021-02-24;8;517362;2449;18469;781
2021-02-25;8;519954;2592;18529;601
2021-02-26;8;522087;2133;18573;441
2021-02-27;8;524001;1914;18623;501
2021-02-28;9;524858;857;18642;191
2021-03-01;9;525595;737;18667;251
2021-03-02;9;527515;1920;18769;1021
2021-03-03;9;530183;2668;18836;671
2021-03-04;9;532755;2572;18899;631
2021-03-05;9;535617;2862;18973;741
2021-03-06;9;538333;2716;19043;701
2021-03-07;10;539683;1350;19052;91
2021-03-08;10;540750;1067;19117;651
2021-03-09;10;544063;3313;19207;901
2021-03-10;10;547384;3321;19300;931
2021-03-11;10;550654;3270;19387;871
2021-03-12;10;553751;3097;19473;861
2021-03-13;10;556869;3118;19566;931
2021-03-14;11;558514;1645;19600;341
2021-03-15;11;559817;1303;19635;351
2021-03-16;11;563646;3829;19789;1541
2021-03-17;11;567617;3971;19897;1081
2021-03-18;11;571358;3741;20076;1791
2021-03-19;11;575331;3973;20236;1601
2021-03-20;11;579380;4049;20352;1161
2021-03-21;12;581013;1633;20368;161
2021-03-22;12;582245;1232;20388;201
2021-03-23;12;586394;4149;20634;2461
2021-03-24;12;590885;4491;20700;661
2021-03-25;12;595099;4214;20843;1431
2021-03-26;12;599340;4241;21131;2881
2021-03-27;12;603049;3709;21408;2771
2021-03-28;13;605059;2010;21440;321
2021-03-29;13;606301;1242;21558;1181
2021-03-30;13;611049;4748;21837;2791
2021-03-31;13;619397;8348;22128;2911
2021-04-01;13;628043;8646;22425;2971
2021-04-02;13;631786;3743;22673;2481
2021-04-03;13;633097;1311;22734;611
2021-04-04;14;634456;1359;22794;601
2021-04-05;14;635582;1126;22844;501
2021-04-06;14;642322;6740;23222;3781
2021-04-07;14;647445;5123;23403;1811
2021-04-08;14;652116;4671;23750;3471
2021-04-09;14;656513;4397;23982;2321
2021-04-10;14;660192;3679;24135;1531
2021-04-11;15;661881;1689;24241;1061
2021-04-12;15;663212;1331;24282;411
2021-04-13;15;667097;3885;24605;3231
2021-04-14;15;671169;4072;24832;2271
2021-04-15;15;675330;4161;25123;2911
2021-04-16;15;679586;4256;25319;1961
2021-04-17;15;683309;3723;25526;2071
2021-04-18;16;684239;930;25548;221
2021-04-19;16;685365;1126;25593;451
2021-04-20;16;689351;3986;25816;2231
2021-04-21;16;693255;3904;26105;2891
2021-04-22;16;695427;2172;26158;531
2021-04-23;16;699461;4034;26389;2311
2021-04-24;16;702874;3413;26587;1981
2021-04-25;17;703977;1103;26642;551
2021-04-26;17;704998;1021;26671;291
2021-04-27;17;708635;3637;26915;2441
2021-04-28;17;712523;3888;27092;1771
2021-04-29;17;715625;3102;27252;1601
2021-04-30;17;718661;3036;27368;1161
2021-05-01;17;721361;2700;27507;1391
2021-05-02;18;722173;812;27530;231
2021-05-03;18;722823;650;27565;351
2021-05-04;18;725547;2724;27743;1781
2021-05-05;18;728146;2599;27888;1451
2021-05-06;18;730546;2400;27988;1001
2021-05-07;18;733059;2513;28131;1431
2021-05-08;18;735057;1998;28309;1781
2021-05-09;19;736342;1285;28347;381
2021-05-10;19;736880;538;28364;171
2021-05-11;19;739821;2941;28583;2191
2021-05-12;19;742629;2808;28764;1811
2021-05-13;19;745134;2505;28875;1111
2021-05-14;19;748382;3248;28994;1191
2021-05-15;19;751114;2732;29102;1081
2021-05-16;20;752658;1544;29126;241
2021-05-17;20;753368;710;29146;201
2021-05-18;20;755989;2621;29336;1901
2021-05-19;20;758819;2830;29518;1821
2021-05-20;20;761886;3067;29649;1311
2021-05-21;20;764790;2904;29767;1181
2021-05-22;20;767954;3164;29856;891
2021-05-23;21;768868;914;29866;101
2021-05-24;21;769766;898;29880;141
2021-05-25;21;772503;2737;30083;2031
2021-05-26;21;775801;3298;30192;1091
2021-05-27;21;778119;2318;30340;1481
2021-05-28;21;778550;431;30476;1361
2021-05-29;21;780675;2125;30566;901
2021-05-30;22;782195;1520;30576;101
2021-05-31;22;783191;996;30596;201
2021-06-01;22;786165;2974;30743;1471
2021-06-02;22;789764;3599;30888;1451
2021-06-03;22;793263;3499;30978;901
2021-06-04;22;794346;1083;30992;141
2021-06-05;22;797603;3257;31187;1951
2021-06-06;23;799219;1616;31206;191
2021-06-07;23;799967;748;31227;211
2021-06-08;23;801298;1331;31341;1141
2021-06-09;23;802232;934;31436;951
2021-06-10;23;805722;3490;31561;1251
2021-06-11;23;809206;3484;31670;1091
2021-06-12;23;812513;3307;31765;951
2021-06-13;24;813711;1198;31779;141
2021-06-14;24;814519;808;31804;251
2021-06-15;24;818295;3776;31944;1401
2021-06-16;24;821875;3580;32131;1871
2021-06-17;24;824321;2446;32264;1331
2021-06-18;24;828737;4416;32414;1501
2021-06-19;24;831637;2900;32553;1391
2021-06-20;25;833323;1686;32572;191
2021-06-21;25;834249;926;32583;111
2021-06-22;25;837969;3720;32747;1641
2021-06-23;25;841141;3172;32865;1181
2021-06-24;25;843949;2808;33010;1451
2021-06-25;25;846987;3038;33150;1401
2021-06-26;25;849498;2511;33246;961
2021-06-27;26;850593;1095;33254;81
2021-06-28;26;851161;568;33265;111
2021-06-29;26;853937;2776;33419;1541
2021-06-30;26;855163;1226;33510;911
2021-07-01;26;857318;2155;33603;931
2021-07-02;26;859731;2413;33713;1101
2021-07-03;26;862385;2654;33798;851
2021-07-04;27;863091;706;33806;81
2021-07-05;27;863581;490;33820;141
2021-07-06;27;866200;2619;33956;1361
2021-07-07;27;868384;2184;34044;881
2021-07-08;27;870614;2230;34163;1191
2021-07-09;27;873108;2494;34243;801
2021-07-10;27;873819;711;34250;71
2021-07-11;28;874832;1013;34258;81
2021-07-12;28;875360;528;34272;141
2021-07-13;28;876847;1487;34375;1031
2021-07-14;28;879316;2469;34445;701
2021-07-15;28;881096;1780;34523;781
2021-07-16;28;882719;1623;34604;811
2021-07-17;28;882719;0;34604;01
2021-07-18;29;885177;2458;34688;841
2021-07-19;29;885766;589;34717;291
2021-07-20;29;886596;830;34809;921
2021-07-21;29;889302;2706;34886;771
2021-07-22;29;891362;2060;34976;901
2021-07-23;29;893488;2126;35055;791
2021-07-24;29;894395;907;35118;631
2021-07-25;30;894918;523;35120;21
2021-07-26;30;895344;426;35127;71
2021-07-27;30;897039;1695;35188;611
2021-07-28;30;898856;1817;35236;481
2021-07-29;30;900696;1840;35310;741
2021-07-30;30;902453;1757;35380;701
2021-07-31;30;904083;1630;35450;701
2021-08-01;31;904658;575;35453;31
2021-08-02;31;904988;330;35456;31
2021-08-03;31;906669;1681;35541;851
2021-08-04;31;908576;1907;35598;571
2021-08-05;31;910107;1531;35638;401
2021-08-06;31;911605;1498;35679;411
2021-08-07;31;913053;1448;35715;361
2021-08-08;32;913781;728;35723;81
2021-08-09;32;914177;396;35728;51
2021-08-10;32;915886;1709;35828;1001
2021-08-11;32;917184;1298;35957;1291
2021-08-12;32;918876;1692;36044;871
2021-08-13;32;920550;1674;36108;641
2021-08-14;32;921943;1393;36210;1021
2021-08-15;33;922592;649;36224;141
2021-08-16;33;923182;590;36236;121
2021-08-17;33;924543;1361;36452;2161
2021-08-18;33;926077;1534;36594;1421
2021-08-19;33;927561;1484;36654;601
2021-08-20;33;929136;1575;36714;601
2021-08-21;33;930465;1329;36758;441
2021-08-22;34;930930;465;36765;71
2021-08-23;34;931419;489;36772;71
2021-08-24;34;933034;1615;36835;631
2021-08-25;34;934400;1366;36887;521
2021-08-26;34;935876;1476;36926;391
2021-08-27;34;937570;1694;36997;711
2021-08-28;34;938981;1411;37030;331
2021-08-29;35;939738;757;37044;141
2021-08-30;35;940292;554;37064;201
2021-08-31;35;942192;1900;37105;411
2021-09-01;35;943658;1466;37157;521
2021-09-02;35;944963;1305;37219;621
2021-09-03;35;946603;1640;37277;581
2021-09-04;35;948229;1626;37338;611
2021-09-05;36;948644;415;37341;31
2021-09-06;36;949062;418;37347;61
2021-09-07;36;949915;853;37357;101
2021-09-08;36;950561;646;37359;21
2021-09-09;36;950830;269;37402;431
2021-09-10;36;950976;146;37446;441
2021-09-11;36;951114;138;37480;341
2021-09-12;37;951193;79;37492;121
2021-09-13;37;951236;43;37498;61
2021-09-14;37;951416;180;37551;531
2021-09-15;37;951578;162;37596;451
2021-09-16;37;956050;4472;37653;571
2021-09-17;37;956050;0;37653;01
2021-09-18;37;960178;4128;37721;681
2021-09-19;38;960266;88;37736;151
2021-09-20;38;960343;77;37746;101
2021-09-21;38;960734;391;37805;591
2021-09-22;38;961074;340;37845;401
2021-09-23;38;961368;294;37895;501
2021-09-24;38;961776;408;37960;651
2021-09-25;38;962014;238;38001;411
2021-09-26;39;962108;94;38024;231
2021-09-27;39;962168;60;38032;81
2021-09-28;39;962619;451;38120;881
2021-09-29;39;962851;232;38211;911
2021-09-30;39;963257;406;38252;411
2021-10-01;39;963509;252;38287;351
2021-10-02;39;963802;293;38321;341
2021-10-03;40;963872;70;38325;41
2021-10-04;40;963977;105;38334;91
2021-10-05;40;964589;612;38374;401
2021-10-06;40;964882;293;38423;491
2021-10-07;40;965074;192;38453;301
2021-10-08;40;965396;322;38472;191
2021-10-09;40;965820;424;38506;341
2021-10-10;41;965919;99;38511;51
2021-10-11;41;965937;18;38530;191
2021-10-12;41;965882;-55;38534;41
2021-10-13;41;965937;55;38539;51
2021-10-14;41;966420;483;38556;171
2021-10-15;41;966747;327;38553;-31
2021-10-16;41;967101;354;38578;251
2021-10-17;42;967052;-49;38588;101
2021-10-18;42;967108;56;38590;21
2021-10-19;42;967484;376;38608;181
2021-10-20;42;967924;440;38633;251
2021-10-21;42;968399;475;38641;81
2021-10-22;42;968772;373;38660;191
2021-10-23;42;968772;0;38660;01
2021-10-24;43;969192;420;38688;281
2021-10-25;43;969251;59;38688;01
2021-10-26;43;969604;353;38707;191
2021-10-27;43;969774;170;38720;131
2021-10-28;43;970033;259;38748;281
2021-10-29;43;970423;390;38789;411
2021-10-30;43;970663;240;38811;221
2021-10-31;44;970683;20;38813;21
2021-11-01;44;970702;19;38814;11
2021-11-02;44;970783;81;38822;81
2021-11-03;44;970837;54;38828;61
2021-11-04;44;971182;345;38849;211
2021-11-05;44;971407;225;38868;191
2021-11-06;44;971644;237;38891;231
2021-11-07;45;971655;11;38891;01
2021-11-08;45;971662;7;38891;01
2021-11-09;45;971847;185;38893;21
2021-11-10;45;972012;165;38897;41
2021-11-11;45;972286;274;38897;01
2021-11-12;45;972286;0;38897;01
2021-11-13;45;972735;449;39023;1261
2021-11-14;46;972846;111;39024;11
2021-11-15;46;972898;52;39025;11
2021-11-16;46;972986;88;39026;11
2021-11-17;46;973400;414;39056;301
2021-11-18;46;973685;285;39068;121
2021-11-19;46;973947;262;39094;261
2021-11-20;46;974116;169;39114;201
2021-11-21;47;974139;23;39114;01
2021-11-22;47;974160;21;39115;11
2021-11-23;47;974513;353;39141;261
2021-11-24;47;974660;147;39158;171
2021-11-25;47;974858;198;39183;251
2021-11-26;47;974999;141;39229;461
2021-11-27;47;975149;150;39258;291
2021-11-28;48;975177;28;39259;11
2021-11-29;48;975202;25;39260;11
2021-11-30;48;975560;358;39280;201
2021-12-01;48;975701;141;39301;211
2021-12-02;48;975803;102;39324;231
2021-12-03;48;975963;160;39335;111
2021-12-04;48;976094;131;39347;121
2021-12-05;49;976197;103;39348;11
2021-12-06;49;976214;17;39352;41
2021-12-07;49;976350;136;39377;251
2021-12-08;49;976535;185;39404;271
2021-12-09;49;976724;189;39429;251
2021-12-10;49;976918;194;39441;121
2021-12-11;49;976918;0;39441;01
2021-12-12;50;976918;0;39441;01
2021-12-13;50;976918;0;39441;01
2021-12-14;50;976918;0;39441;01
2021-12-15;50;976992;74;39487;461
2021-12-16;50;976992;0;39487;01
2021-12-17;50;977019;27;39508;211
2021-12-18;50;977026;7;39515;71
2021-12-19;51;977025;-1;39519;41
2021-12-20;51;977027;2;39519;01
2021-12-21;51;977027;0;39519;01
2021-12-22;51;977030;3;39532;131
2021-12-23;51;977053;23;39535;31
2021-12-24;51;977060;7;39542;71
2021-12-25;51;977070;10;39543;11
2021-12-26;52;977069;-1;39542;-11
2021-12-27;52;977069;0;39542;01
2021-12-28;52;977098;29;39547;51
2021-12-29;52;977098;0;39547;01
2021-12-30;52;977729;631;39555;81
2021-12-31;52;977918;189;39561;61
2022-01-01;52;977986;68;39566;51
2022-01-02;1;977993;7;39566;01
2022-01-03;1;978017;24;39566;01
2022-01-04;1;978474;457;39577;111
2022-01-05;1;978922;448;39583;61
2022-01-06;1;979194;272;39601;181
2022-01-07;1;979576;382;39608;71
2022-01-08;1;979851;275;39619;111
2022-01-09;2;979966;115;39619;01
2022-01-10;2;980053;87;39629;101
2022-01-11;2;980703;650;39638;91
2022-01-12;2;981174;471;39645;71
2022-01-13;2;981751;577;39660;151
2022-01-14;2;982584;833;39687;271
2022-01-15;2;982830;246;39717;301
2022-01-16;3;983006;176;39718;11
2022-01-17;3;983178;172;39722;41
2022-01-18;3;984581;1403;39742;201
2022-01-19;3;985761;1180;39769;271
2022-01-20;3;986976;1215;39807;381
2022-01-21;3;988516;1540;39840;331
2022-01-22;3;988516;0;39840;01
2022-01-23;4;990873;2357;39880;401
2022-01-24;4;991062;189;39907;271
2022-01-25;4;992729;1667;39948;411
2022-01-26;4;993230;501;39963;151
2022-01-27;4;995512;2282;40017;541
2022-01-28;4;997529;2017;40054;371
2022-01-29;4;1000088;2559;40119;651
2022-01-30;5;1000779;691;40128;91
2022-01-31;5;1000779;0;40128;01
2022-02-01;5;1003330;2551;40185;571
2022-02-02;5;1003588;258;40246;611
2022-02-03;5;1007354;3766;40330;841
2022-02-04;5;1007354;0;40330;01
2022-02-05;5;1010883;3529;40436;1061
2022-02-06;6;1011306;423;40452;161
2022-02-07;6;1011717;411;40456;41
2022-02-08;6;1013548;1831;40521;651
2022-02-09;6;1015771;2223;40586;651
2022-02-10;6;1017821;2050;40644;581
2022-02-11;6;1020296;2475;40697;531
2022-02-12;6;1022623;2327;40734;371
2022-02-13;7;1022978;355;40749;151
2022-02-14;7;1023233;255;40760;111
2022-02-15;7;1024810;1577;40805;451
2022-02-16;7;1026477;1667;40928;1231
2022-02-17;7;1027916;1439;41061;1331
2022-02-18;7;1029374;1458;41124;631
2022-02-19;7;1030832;1458;41192;681
2022-02-20;8;1031311;479;41197;51
2022-02-21;8;1031405;94;41209;121
2022-02-22;8;1032816;1411;41275;661
2022-02-23;8;1034045;1229;41324;491
2022-02-24;8;1035194;1149;41369;451
2022-02-25;8;1035927;733;41410;411
2022-02-26;8;1036608;681;41456;461
2022-02-27;9;1036777;169;41460;41
2022-02-28;9;1036855;78;41464;41
2022-03-01;9;1037036;181;41501;371
2022-03-02;9;1037314;278;41511;101
2022-03-03;9;1038004;690;41542;311
