,Date,Line Name,Total,MDU,MSA,MDO,MAX
27,2019-09-01,Lilás,14755.0,601.0,312.0,177.0,629.0
28,2019-10-01,Amarela,21387.0,818.0,386.0,255.0,854.0
29,2019-10-01,Lilás,16098.0,610.0,325.0,190.0,625.0
31,2019-11-01,Lilás,14569.0,622.0,316.0,182.0,644.0
30,2019-11-01,Amarela,19412.0,836.0,392.0,238.0,872.0
32,2019-12-01,Amarela,17788.0,703.0,400.0,261.0,859.0
33,2019-12-01,Lilás,14031.0,548.0,217.0,119.0,649.0
34,2020-01-01,Amarela,17750.0,702.0,335.0,202.0,777.0
35,2020-01-01,Lilás,13660.0,535.0,279.0,167.0,580.0
36,2020-02-01,Lilás,13806.0,587.0,330.0,196.0,650.0
37,2020-02-01,Amarela,18294.0,763.0,441.0,310.0,853.0
39,2020-03-01,Amarela,13139.0,521.0,232.0,151.0,861.0
38,2020-03-01,Lilás,10674.0,419.0,208.0,126.0,652.0
41,2020-04-01,Lilás,3695.0,150.0,89.0,51.0,166.0
40,2020-04-01,Amarela,3806.0,158.0,83.0,48.0,174.0
42,2020-05-01,Lilás,4008.0,167.0,99.0,56.0,175.0
43,2020-05-01,Amarela,4062.0,175.0,91.0,49.0,182.0
44,2020-06-01,Amarela,5278.0,208.0,113.0,60.0,230.0
45,2020-06-01,Lilás,5139.0,200.0,121.0,65.0,221.0
46,2020-07-01,Amarela,6746.0,255.0,149.0,71.0,276.0
47,2020-07-01,Lilás,6544.0,244.0,156.0,78.0,264.0
48,2020-08-01,Amarela,7324.0,290.0,168.0,81.0,312.0
49,2020-08-01,Lilás,7100.0,277.0,172.0,85.0,299.0
51,2020-09-01,Lilás,7728.0,306.0,196.0,98.0,323.0
50,2020-09-01,Amarela,7980.0,320.0,193.0,95.0,338.0
52,2020-10-01,Amarela,8892.0,347.0,208.0,107.0,368.0
53,2020-10-01,Lilás,8614.0,334.0,208.0,105.0,348.0
54,2020-11-01,Amarela,8976.0,365.0,234.0,122.0,385.0
55,2020-11-01,Lilás,8669.0,346.0,233.0,116.0,372.0
56,2020-12-01,Amarela,8785.0,337.0,213.0,114.0,392.0
57,2020-12-01,Lilás,8844.0,337.0,222.0,118.0,385.0
58,2021-01-01,Lilás,8033.0,336.0,183.0,104.0,360.0
59,2021-01-01,Amarela,8042.0,341.0,172.0,101.0,365.0
61,2021-02-01,Lilás,8374.0,356.0,214.0,112.0,370.0
60,2021-02-01,Amarela,8395.0,360.0,206.0,110.0,375.0
62,2021-03-01,Lilás,7430.0,299.0,153.0,77.0,377.0
63,2021-03-01,Amarela,7060.0,288.0,135.0,69.0,373.0
64,2021-04-01,Lilás,6913.0,289.0,160.0,84.0,327.0
65,2021-04-01,Amarela,6530.0,276.0,141.0,77.0,317.0
66,2021-05-01,Amarela,8284.0,324.0,193.0,103.0,346.0
67,2021-05-01,Lilás,8408.0,328.0,200.0,105.0,349.0
69,2021-06-01,Amarela,8721.0,336.0,216.0,114.0,357.0
68,2021-06-01,Lilás,8844.0,341.0,222.0,114.0,359.0
71,2021-07-01,Amarela,9139.0,350.0,222.0,119.0,373.0
70,2021-07-01,Lilás,9147.0,351.0,221.0,118.0,374.0
72,2021-08-01,Amarela,10049.0,386.0,231.0,129.0,405.0
73,2021-08-01,Lilás,10004.0,384.0,235.0,124.0,400.0
74,2021-09-01,Amarela,10409.0,409.0,252.0,149.0,431.0
75,2021-09-01,Lilás,10097.0,399.0,251.0,137.0,412.0
76,2021-10-01,Lilás,10470.44,416.75,263.12,130.84,440.64
77,2021-10-01,Amarela,10956.07,434.81,272.26,146.87,478.42
79,2021-11-01,Amarela,11712.12,469.24,300.21,188.66,497.47
78,2021-11-01,Lilás,10990.58,442.99,285.38,160.61,459.23
81,2021-12-01,Amarela,11566.89,423.65,272.63,183.1,514.81
80,2021-12-01,Lilás,11037.81,405.61,261.28,165.94,479.79
82,2022-01-01,Amarela,9745.14,381.81,209.48,135.96,420.11
0,2022-01-01,vermelha,16226.0,639.0,411.0,235.0,696.0
24,2022-01-01,prata,1142.0,46.0,28.0,14.0,50.0
36,2022-01-01,verde,7484.0,302.0,169.0,100.0,331.0
12,2022-01-01,azul,13688.0,542.0,351.0,190.0,585.0
83,2022-01-01,Lilás,9286.51,364.58,202.18,123.9,397.23
84,2022-02-01,Amarela,10885.0,450.0,289.0,180.0,486.0
25,2022-02-01,prata,1294.0,55.0,34.0,18.0,59.0
13,2022-02-01,azul,14891.0,634.0,415.0,196.0,667.0
85,2022-02-01,Lilás,10180.0,426.0,270.0,145.0,450.0
37,2022-02-01,verde,8486.0,367.0,198.0,129.0,389.0
1,2022-02-01,vermelha,17630.0,743.0,478.0,289.0,775.0
26,2022-03-01,prata,1587.0,62.0,36.0,18.0,64.0
86,2022-03-01,Lilás,12297.0,469.0,288.0,151.0,500.0
2,2022-03-01,vermelha,21835.0,840.0,513.0,287.0,895.0
38,2022-03-01,verde,10739.0,424.0,215.0,130.0,444.0
87,2022-03-01,Amarela,13697.0,523.0,322.0,172.0,575.0
14,2022-03-01,azul,18216.0,706.0,436.0,198.0,734.0
15,2022-04-01,azul,17547.0,742.0,430.0,235.0,771.0
27,2022-04-01,prata,1507.0,64.0,36.0,19.0,69.0
89,2022-04-01,Lilás,11533.0,482.0,276.0,155.0,500.0
88,2022-04-01,Amarela,13019.0,550.0,299.0,165.0,591.0
3,2022-04-01,vermelha,20508.0,859.0,499.0,308.0,877.0
39,2022-04-01,verde,10196.0,444.0,212.0,134.0,459.0
40,2022-05-01,verde,11447.0,447.0,228.0,135.0,468.0
4,2022-05-01,vermelha,22453.0,847.0,542.0,324.0,877.0
16,2022-05-01,azul,19350.0,738.0,473.0,242.0,765.0
91,2022-05-01,Lilás,12740.79,488.3,299.87,159.75,507.22
28,2022-05-01,prata,1674.0,64.0,39.0,20.0,66.0
90,2022-05-01,Amarela,14873.24,569.18,337.49,200.28,606.09
5,2022-06-01,vermelha,20959.0,823.0,514.0,322.0,858.0
17,2022-06-01,azul,17926.0,710.0,437.0,242.0,746.0
29,2022-06-01,prata,1596.0,64.0,35.0,20.0,70.0
41,2022-06-01,verde,10638.0,431.0,214.0,153.0,447.0
93,2022-06-01,Lilás,12099.73,479.0,283.96,155.88,541.79
92,2022-06-01,Amarela,14239.84,559.54,322.67,223.49,587.65
30,2022-07-01,prata,1517.0,62.0,26.0,16.0,64.0
42,2022-07-01,verde,10490.0,413.0,222.0,146.0,430.0
6,2022-07-01,vermelha,20746.0,795.0,511.0,303.0,833.0
95,2022-07-01,Amarela,14178.13,548.41,328.38,203.91,586.31
94,2022-07-01,Lilás,12042.05,466.2,285.91,164.46,484.27
18,2022-07-01,azul,18175.0,690.0,459.0,265.0,752.0
19,2022-08-01,azul,19922.0,747.0,454.0,232.0,779.0
43,2022-08-01,verde,12057.0,460.0,231.0,136.0,487.0
31,2022-08-01,prata,1709.0,67.0,28.0,17.0,69.0
7,2022-08-01,vermelha,22792.0,849.0,513.0,305.0,888.0
97,2022-08-01,Lilás,13310.68,500.75,292.18,156.23,519.06
96,2022-08-01,Amarela,15871.08,599.54,327.55,192.89,640.13
8,2022-09-01,vermelha,21793.0,865.0,534.0,290.0,910.0
32,2022-09-01,prata,1661.0,68.0,34.0,20.0,74.0
44,2022-09-01,verde,11553.0,470.0,235.0,135.0,490.0
20,2022-09-01,azul,19046.0,761.0,466.0,237.0,796.0
98,2022-09-01,Lilás,12606.29,505.5,298.03,153.91,517.4
99,2022-09-01,Amarela,15427.31,619.43,341.23,205.33,653.67
9,2022-10-01,vermelha,22203.0,878.0,533.0,305.0,918.0
45,2022-10-01,verde,11672.0,475.0,238.0,150.0,498.0
21,2022-10-01,azul,19679.0,782.0,475.0,257.0,828.0
33,2022-10-01,prata,1679.0,69.0,33.0,19.0,71.0
100,2022-10-01,Lilás,12854.25,512.52,301.32,176.27,533.04
101,2022-10-01,Amarela,15642.63,626.43,350.85,224.48,660.21
103,2022-11-01,Amarela,14955.05,613.22,357.0,205.72,659.99
10,2022-11-01,vermelha,21421.0,889.0,560.0,320.0,928.0
22,2022-11-01,azul,18677.0,782.0,484.0,263.0,816.0
46,2022-11-01,verde,11039.0,477.0,237.0,144.0,501.0
102,2022-11-01,Lilás,12404.96,503.71,314.49,169.51,538.67
34,2022-11-01,prata,1654.0,71.0,34.0,22.0,74.0
35,2022-12-01,prata,1555.0,62.0,25.0,19.0,75.0
105,2022-12-01,Lilás,11837.35,448.87,264.37,160.11,550.56
11,2022-12-01,vermelha,21117.0,793.0,642.0,348.0,959.0
23,2022-12-01,azul,18176.0,691.0,511.0,291.0,845.0
104,2022-12-01,Amarela,14236.08,544.98,299.08,187.76,693.28
47,2022-12-01,verde,10182.0,396.0,248.0,151.0,495.0
106,2023-01-01,Lilás,10976.23,427.2,271.01,139.44,468.66
107,2023-01-01,Amarela,13605.41,530.98,311.82,186.86,594.24
108,2023-02-01,Lilás,11015.86,473.46,289.52,161.31,516.8
109,2023-02-01,Amarela,13777.19,580.3,387.56,224.68,639.51
110,2023-03-01,Lilás,13455.77,503.11,305.23,165.84,535.97
111,2023-03-01,Amarela,17370.64,649.07,389.01,221.48,711.99
112,2023-04-01,Lilás,11792.22,510.81,282.42,160.71,527.25
113,2023-04-01,Amarela,15070.57,661.45,338.3,201.58,701.71
